Location,Year,Quarter,SO2,NO2,RSPM,RAINFALL,TEMPERATURE,HUMIDITY
ANDHRAPRADESH_ANANTAPUR,2019,1,4.399393,9.632866,79.83973,13.50635092,26.74763683,50.35569921
ANDHRAPRADESH_ANANTAPUR,2019,2,4.77851,10.36759,81.32379,191.6438617,31.75652162,50.93422181
ANDHRAPRADESH_ANANTAPUR,2019,3,4.803583,10.51385,77.51098,358.0196594,28.79249304,73.72337397
ANDHRAPRADESH_ANANTAPUR,2019,4,4.666086,10.50874,81.60339,218.0526833,26.30383384,66.99814191
ANDHRAPRADESH_ANANTAPUR,2020,1,4.598122,9.560319,82.44111,40.4845918,26.95290655,47.05657126
ANDHRAPRADESH_ANANTAPUR,2020,2,4.520854,10.28233,79.52703,141.9223249,31.96259351,53.16323194
ANDHRAPRADESH_ANANTAPUR,2020,3,4.884707,10.45694,76.99745,246.6729002,29.01692013,69.85223531
ANDHRAPRADESH_ANANTAPUR,2020,4,4.568901,10.45323,75.22178,100.550176,26.60417501,70.96822073
ANDHRAPRADESH_ANANTAPUR,2021,1,4.453695,9.504704,79.59053,4.917972304,27.24102945,44.39869469
ANDHRAPRADESH_ANANTAPUR,2021,2,4.637164,10.2265,78.78679,177.1351235,32.2505621,52.77558037
ANDHRAPRADESH_ANANTAPUR,2021,3,4.769067,10.40158,74.03611,331.7795403,29.30135764,71.39187445
ANDHRAPRADESH_ANANTAPUR,2021,4,4.519383,10.3979,74.52717,185.6311529,26.87400859,69.68292767
ANDHRAPRADESH_ANANTAPUR,2022,1,4.547172,9.449371,78.78721,37.70905258,27.51321351,48.88277053
ANDHRAPRADESH_ANANTAPUR,2022,2,4.576261,10.17117,79.42241,153.1697317,32.52277585,50.43027066
ANDHRAPRADESH_ANANTAPUR,2022,3,4.80097,10.34625,76.15773,268.5515387,29.57425068,71.76881783
ANDHRAPRADESH_ANANTAPUR,2022,4,4.561867,10.34257,75.66169,122.3656774,27.14971105,68.56763345
ANDHRAPRADESH_ANANTAPUR,2023,1,4.518258,9.394042,80.57341,9.81662843,27.7884638,47.01282064
ANDHRAPRADESH_ANANTAPUR,2023,2,4.631095,10.11584,81.00821,169.1402552,32.79802042,53.25938715
ANDHRAPRADESH_ANANTAPUR,2023,3,4.808675,10.29092,77.26113,314.9156148,29.84936458,69.96479248
ANDHRAPRADESH_ANANTAPUR,2023,4,4.544417,10.28724,76.67222,170.0019399,27.42428449,70.4306284
ANDHRAPRADESH_ANANTAPUR,2024,1,4.555285,9.338712,80.58547,32.70871852,28.06312422,46.02598102
ANDHRAPRADESH_ANANTAPUR,2024,2,4.61889,10.06051,80.69479,158.8262272,33.07268195,52.40012439
ANDHRAPRADESH_ANANTAPUR,2024,3,4.802034,10.23559,76.68758,281.0775419,30.12405124,71.58057368
ANDHRAPRADESH_ANANTAPUR,2024,4,4.558154,10.23191,75.70604,134.0412065,27.69907512,68.75989508
ANDHRAPRADESH_ANANTAPUR,2025,1,4.537043,9.283383,79.69056,14.23073975,28.33789812,47.85732073
ANDHRAPRADESH_ANANTAPUR,2025,2,4.620636,10.00518,79.7366,165.2494369,33.34745564,51.25443596
ANDHRAPRADESH_ANANTAPUR,2025,3,4.804155,10.18026,75.928,305.6998384,30.39882009,71.5131018
ANDHRAPRADESH_ANANTAPUR,2025,4,4.544266,10.17658,75.29199,161.1773412,27.97382397,69.60213239
ANDHRAPRADESH_CHITTOOR,2019,1,4.267582,9.571191,46.04471,17.36628674,26.71788799,60.72763274
ANDHRAPRADESH_CHITTOOR,2019,2,4.442749,10.10697,49.27414,178.777134,31.8726615,57.21957572
ANDHRAPRADESH_CHITTOOR,2019,3,4.344405,9.067754,44.13191,482.5383745,29.42218244,74.06708692
ANDHRAPRADESH_CHITTOOR,2019,4,4.376157,9.380925,45.53043,469.2507195,26.18507973,78.56505725
ANDHRAPRADESH_CHITTOOR,2020,1,4.334457,9.048996,48.22561,64.55394702,26.73023785,65.26169409
ANDHRAPRADESH_CHITTOOR,2020,2,4.467656,10.6331,50.80982,179.1023038,31.93961865,58.39629351
ANDHRAPRADESH_CHITTOOR,2020,3,4.288336,8.77033,46.89772,361.0523902,29.55082788,71.33320257
ANDHRAPRADESH_CHITTOOR,2020,4,4.314281,9.325901,48.83801,366.4671152,26.299423,78.60782043
ANDHRAPRADESH_CHITTOOR,2021,1,4.302819,8.949254,50.69599,19.80231747,26.84909607,61.31900457
ANDHRAPRADESH_CHITTOOR,2021,2,4.402585,10.07619,52.88062,168.5620582,32.05329129,59.11425296
ANDHRAPRADESH_CHITTOOR,2021,3,4.252986,8.572566,48.69438,385.4082111,29.65864253,70.52027541
ANDHRAPRADESH_CHITTOOR,2021,4,4.298986,9.022426,50.33981,394.9302261,26.4085958,79.15633926
ANDHRAPRADESH_CHITTOOR,2022,1,4.285583,8.66528,51.91963,30.96678069,26.95784013,62.95719405
ANDHRAPRADESH_CHITTOOR,2022,2,4.398147,9.991587,53.7136,173.0491775,32.16252778,58.45185233
ANDHRAPRADESH_CHITTOOR,2022,3,4.260202,8.33134,49.13713,378.610439,29.76843529,72.10307216
ANDHRAPRADESH_CHITTOOR,2022,4,4.30035,8.8273,50.42904,387.8472819,26.51825959,77.97659613
ANDHRAPRADESH_CHITTOOR,2023,1,4.290506,8.46165,51.67783,27.67367376,27.06754464,63.25461713
ANDHRAPRADESH_CHITTOOR,2023,2,4.404309,9.70101,53.17376,172.0205917,32.27218553,58.11695598
ANDHRAPRADESH_CHITTOOR,2023,3,4.261397,8.109068,48.3317,380.2787035,29.87804021,71.45575631
ANDHRAPRADESH_CHITTOOR,2023,4,4.30104,8.584924,49.40033,389.8543889,26.62787676,78.69174022
ANDHRAPRADESH_CHITTOOR,2024,1,4.291264,8.222982,50.47638,28.47905725,27.17715794,62.49167889
ANDHRAPRADESH_CHITTOOR,2024,2,4.402403,9.50026,51.85059,172.3417055,32.38180327,58.93919988
